text,label
오늘 너무 행복해요!,2
기분 좋은 하루였어요.,2
좋은 소식을 들었어요.,2
날씨가 좋아서 기분이 좋아졌어요.,2
모든 일이 잘 풀렸어요.,2
친구랑 맛있는 것도 먹었어요!,2
드디어 여행 가요! 너무 기대돼요.,2
원하던 결과를 얻었어요!,2
오늘은 모든 게 완벽했어요.,2
웃을 일이 많았던 하루였어요.,2
오랜만에 친구와 즐거운 시간을 보냈어요.,2
회사에서 칭찬을 받았어요.,2
좋은 영화 보고 힐링했어요.,2
새 옷을 입고 외출했어요. 기분 최고!,2
맛있는 디저트를 먹었어요!,2
새로운 취미를 시작했는데 너무 재밌어요!,2
오늘은 왠지 모르게 기분이 좋아요.,2
사랑하는 사람과 좋은 시간을 보냈어요.,2
열심히 한 일이 좋은 결과로 이어졌어요.,2
마음이 따뜻해지는 하루였어요.,2
그냥 그런 하루였어요.,1
별다른 일은 없었어요.,1
조용히 하루를 보냈어요.,1
일상적인 하루였어요.,1
무난하게 하루를 마무리했어요.,1
할 일만 하고 집에 왔어요.,1
"지루하지도, 재미있지도 않았어요.",1
크게 감정이 동하지 않았어요.,1
특별한 일은 없었어요.,1
하루가 금방 지나갔어요.,1
회사-집 반복하는 하루였어요.,1
오늘도 그냥 시간만 보냈네요.,1
밥 먹고 잠만 잔 하루였어요.,1
뭐 하지도 않고 그냥 있었어요.,1
시계만 보면서 보낸 하루였어요.,1
일만 하다가 하루가 끝났어요.,1
딱히 기억에 남지 않는 하루네요.,1
휴식을 취했지만 특별하진 않았어요.,1
하루가 무난하게 흘러갔어요.,1
그럭저럭 괜찮은 하루였어요.,1
너무 짜증나고 우울해요.,0
기분이 안 좋아요.,0
속상한 일이 있었어요.,0
실수해서 자존감이 떨어졌어요.,0
화나는 일이 생겼어요.,0
오늘은 정말 최악이에요.,0
계속 일이 꼬여요.,0
짜증나는 하루였어요.,0
감정이 너무 불안정해요.,0
울고 싶을 정도로 힘들었어요.,0
아무것도 하기 싫은 날이에요.,0
모든 게 귀찮고 힘들어요.,0
불안한 마음에 잠도 못 잤어요.,0
자꾸 눈물이 나요.,0
실망스러운 결과를 받았어요.,0
주변 사람들과 갈등이 있었어요.,0
어디에도 위로받을 곳이 없어요.,0
몸도 마음도 너무 지쳤어요.,0
세상이 나를 싫어하는 것 같아요.,0
혼자 있고 싶었던 하루였어요.,0
